model,predictor,coefficient,se,ci_lower,ci_upper,p_value,odds_ratio,n_observations,n_clusters_subj,n_clusters_game,notes
naive_logistic,block,-0.050782889449781606,0.0018810864628648893,-0.05446975116880263,-0.04709602773076058,1.6213330375088868e-160,0.9504850084557066,650750,926,256,
gee_exchangeable,block,-0.05086717313014564,0.0031806837809396555,-0.05710119878699805,-0.04463314747329323,1.4406516694797628e-57,0.9504049014569669,650750,926,256,exchangeable corr=The correlation between two observations in the same cluster is 0.029
cluster_robust_logistic,block,-0.050782889449781606,0.00317117971143784,-0.05699828747270389,-0.04456749142685932,1.0223197061203703e-57,0.9504850084557066,650750,926,256,sandwich SE clustered by SubjID
