dataset,predictor,coefficient,std_error,ci_lower,ci_upper,p_value,model
choices13k,ev_favored_has_loss,1.3050805109749601,0.03194582509867591,1.2424666937815554,1.367694328168365,0.0,unadjusted
choices13k,ev_abs_diff,-0.6641665902326801,0.02080440863282501,-0.708085337941832,-0.6255001804906324,0.0,controlled
choices13k,ev_favored_has_loss,0.8366003575678319,0.019351837851688845,0.8017709372118919,0.8752924334560169,0.0,controlled
choices13k,prob_loss_ev_favored,-0.924489140493287,0.02673540717221163,-0.9794737321672262,-0.8745767491573778,0.0,controlled
choices13k,expected_loss_ev_favored,-0.41596140045774416,0.022921916318585353,-0.4636290507081603,-0.37479538653645295,0.0,controlled
choices13k,ambiguity,0.28346490248813394,0.01767213818220086,0.24932452635585522,0.3175734038276618,0.0,controlled
choices13k,any_dominance,-1.4209920224527768,0.08093368997874494,-1.6059251478812147,-1.2908796966548255,0.0,controlled
CPC18,ev_favored_has_loss,1.0844276536761532,0.3373721339673792,0.42317827110009,1.7456770362522165,0.0009615130100056812,unadjusted
CPC18,ev_abs_diff,-1.404843905554662,0.33478626608455797,-2.2387299475301226,-0.8767541376354862,2.7138129762516172e-05,controlled
CPC18,ev_favored_has_loss,0.710787080886156,0.18040102040291722,0.385397449852745,1.08141333390627,8.146831694211265e-05,controlled
CPC18,prob_loss_ev_favored,-0.1557463134874723,0.27785916037806857,-0.7418646287118332,0.3653461196205415,0.5751230914431527,controlled
CPC18,expected_loss_ev_favored,0.6382860793585338,0.28905831691625894,0.1394443528433702,1.2398045246876843,0.027233346764284017,controlled
CPC18,ambiguity,0.0977471664342211,0.18202338561891895,-0.2604113967954062,0.44530616827561215,0.5912653054341832,controlled
CPC18,any_dominance,-0.9602496426505358,0.08472438202900734,-1.1092198382388614,-0.7835057224575318,0.0,controlled
